generation,N,z
222,4.78053804130598,-10.171362411177522
223,4.759790356598294,-10.18570402530144
224,4.7392231555774345,-10.199983396371236
225,4.718834083240294,-10.214201065837969
226,4.698620825509953,-10.22835756808769
227,4.678581108348216,-10.24245343056422
228,4.658712696891181,-10.256489173889264
229,4.6390133946071535,-10.270465311979937
230,4.619481042476247,-10.284382352163759
231,4.600113518190991,-10.298240795291187
232,4.580908735377355,-10.31204113584576
233,4.561864642835555,-10.325783862051892
234,4.542979223800059,-10.3394694559804
235,4.524250495218252,-10.3530983936518
236,4.5056765070471805,-10.366671145137454
237,4.487255341567875,-10.380188174658596
238,4.468985112716715,-10.3936499406833
239,4.450863965433369,-10.40705689602145
240,4.432890075024812,-10.42040948791775
241,4.4150616465449675,-10.433708158142824
242,4.397376914189527,-10.446953343082459
243,4.3798341407055075,-10.460145473825028
244,4.3624316168151465,-10.473284976247145
245,4.345167660653703,-10.48637227109759
246,4.328040617220803,-10.49940777407955
247,4.311048857844928,-10.512391895931213
248,4.294190779660685,-10.525325042504747
249,4.277464805098513,-10.53820761484373
250,4.26086938138647,-10.551040009259026
251,4.244402980063767,-10.563822617403185
252,4.228064096505739,-10.576555826343377
253,4.21185124945993,-10.589240018632895
254,4.195762980592988,-10.601875572381275
255,4.179797854048084,-10.614462861323053
256,4.163954456012561,-10.627002254885198
257,4.148231394295556,-10.639494118253236
258,4.132627297915297,-10.651938812436123
259,4.117140816695851,-10.664336694329869
260,4.101770620873046,-10.676688116779957
261,4.086515400709331,-10.688993428642576
262,4.0713738661173515,-10.701252974844703
263,4.056344746291983,-10.713467096443056
264,4.04142678935063,-10.725636130681933
265,4.026618761981556,-10.737760411049985
266,4.011919449100047,-10.74984026733593
267,3.9973276535121873,-10.76187602568323
268,3.982842195586082,-10.773868008643767
269,3.968461912930304,-10.785816535230525
270,3.9541856600793923,-10.797721920969316
